system,query_id,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,facts_recalled,traps_acknowledged,fr_pct,uaa_pct,duration_s
SA,N35,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
SA,D1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,
SA,D2,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,D3,single,1,1,0,1,1,0,1,0,1.0,0.0,100.0,0.0,
SA,D4,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,D5,single,2,2,0,1,1,0,1,0,2.0,0.0,100.0,0.0,
SA,N41,multi,1,0,1,0,0,0,0,0,1.0,0,100.0,,
SA,N42,multi,1,0,1,3,0,3,3,0,1.0,0.0,100.0,0.0,
SA,N43,multi,2,0,2,0,0,0,0,0,1.0,0,50.0,,
SA,N44,multi,2,0,2,1,0,1,1,0,0.0,0.0,0.0,0.0,
SA,N45,multi,1,0,1,0,0,0,0,0,0.0,0,0.0,,
SA,N46,multi,2,0,2,1,0,1,1,0,2.0,0.0,100.0,0.0,
SA,N47,multi,2,0,2,2,0,2,2,0,0.0,0.0,0.0,0.0,
SA,N48,multi,3,0,3,0,0,0,0,0,3.0,0,100.0,,
SA,N49,multi,2,0,2,0,0,0,0,0,1.0,0,50.0,,
SA,N50,multi,1,0,1,1,0,1,1,0,1.0,0.0,100.0,0.0,
SA,N51,multi,2,0,2,0,0,0,0,0,0.0,0,0.0,,
SA,N52,multi,2,0,2,1,0,1,1,0,2.0,0.0,100.0,0.0,
SA,N53,multi,3,0,3,0,0,0,0,0,2.0,0,66.7,,
SA,N54,multi,2,0,2,2,0,2,2,0,0.0,0.0,0.0,0.0,
SA,N55,multi,1,0,1,2,0,2,2,0,1.0,0.0,100.0,0.0,
